"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Female","United States","Louisiana","25 to 34","Master's Degree","No","Entry level","50000","Under 1 year","Specialist","Yes","Consulting","ArcGIS","ArcGIS","No","No","Vector","FME;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","7","6","haha memes go brrrr"
"Male","United States","Mississippi","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","58000","5-10 years","Analyst","Yes","Forestry","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","50/50","Access;GIMP;Python;SQL Server","No","SQL Server","GISP","Yes","No","2","No","Not much difference","I was already working from home","I was already working from home","10","10","No"
"Male","United States","Colorado","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","72000","11-25 years","Coordinator","Yes","Real Estate","ArcGIS","ArcGIS","Exclusively","Illustrator","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","7","7","No"
"Male","United States","Nebraska","18 to 24","High School or equivalent",,"Student - University/College","10000","2-5 years",,,,"ArcGIS","ArcGIS","Exclusively","No","Vector",,"No","None (ShapeFiles baby)","No",,,"2",,,,,"7","7","haha memes go brrrr"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","60000","Under 1 year","Developer","No","Energy","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","Access;SQL Server;.NET, Arc SDK","Python;SQL;.NET;C#;JavaScript","SQL Server","No",,,"2","No","Positively","I was already working from home","Yes","8","7","haha memes go brrrr"
"Male","United States","Ohio","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","48000","2-5 years","Analyst","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","Access;Python;R","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","Yes","No","10","10","Yes"
"Female","United States","Oregon","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","1","1-2 years","Intern","Yes","Federal government","ArcGIS","ArcGIS","Primarily","No","Vector","Access","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","8","9","No"
"Male","Europe",,"25 to 34","Master's Degree","Yes","Mid level","111000","5-10 years","Solution Architect","Yes","GIS","ArcGIS","ArcGIS","Exclusively","Illustrator","50/50","FME;PostGIS;Python;SQL Server;VS Code","Python;SQL","PostgreSQL","Esri","Partly",,"3","No","Not much difference","Yes","To some extent","10","10","No"
"Male","Canada",,"45 to 54","Master's Degree","No","Mid level","30000","5-10 years","Analyst","Yes","Education","ArcGIS;Google Earth;GRASS;QGIS","ArcGIS","A bit","No","Vector","Access","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","No","No","8","6","haha memes go brrrr"
"Female","Other",,"25 to 34","Doctorate degree","Yes","Faculty ","28000","1-2 years","Researcher","No","Academia","ArcGIS","ArcGIS","No","PhotoShop","50/50","InDesign","No","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","No","Not much difference","Yes","To some extent","5","10","No"
"Male","Germany",,"25 to 34","Master's Degree","Yes","Looking for work","0","Under 1 year",,,,"ArcGIS;QGIS","QGIS",,"Illustrator","Vector","Python;R;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"2","No",,,,"6","5","No"
"Male","United States","South Carolina","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","58000","2-5 years","Technician","Yes","Marketing","MapInfo;QGIS","MapInfo",,"No","Vector","PostGIS;Python","SQL","PostgreSQL","No",,,"1","No","Not much difference","I was already working from home","I was already working from home","7","5","haha memes go brrrr"
"Male","United States","Kentucky","35 to 44","Bachelor's (Undergraduate) Degree",,"Full time and freelance. ","375000","5-10 years","Technical Expert","No","Engineering","ArcGIS;ERDAS;Global Mapper","ArcGIS","50/50","PhotoShop","Raster","FME;Python","Python","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","I was, but back in the office now","To some extent","6","4","Don't care"
"Female","United States","Colorado","25 to 34","still i school for GIS, but have masters in Polisci","Maybe","Student - University/College","36000","1-2 years","a buyers assistant, but not GIS related","No","Merchandise","ArcGIS","ArcGIS","Exclusively","No","50/50","Access","SQL","File Geodatabase (ESRI)","No","No","No","2","No","Positively","Yes","To some extent","9","8","No"
"Male","Europe",,"25 to 34","Master's Degree","Maybe","Mid level","18000","5-10 years","Analyst","No","Transportation","QGIS","QGIS",,"No","Vector","GDAL;GIMP;PostGIS;SQL Server","No","PostgreSQL","No",,,"3","No","Not much difference","Yes","Yes","8","9","No"
"Male","United States","Oklahoma","45 to 54","Bachelor's (Undergraduate) Degree","Maybe","Mid level","78000","11-25 years","Senior Analyst","Yes","Real Estate","ArcGIS;AutoCAD;Google Earth","ArcGIS","Exclusively","No","50/50","FME;GIMP;Python;SQL Server;VS Code;PhotoMesh","Python;SQL;C#;JavaScript","SQL Server","No","No","No","3","No","Positively","Yes","To some extent","9","10","Yes"
"Female","United States","Colorado","35 to 44","Post Bachelor's Certificate","Yes","Mid level","35000","1-2 years","Coordinator","No","Local Government","ArcGIS;Google Earth","ArcGIS","No","No","Vector","Access;Python","No","Personal Geodatabase (ESRI)","No",,,"2","No","Not much difference","I was, but back in the office now",,"7","7","Don't care"
"Male","Canada",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","30000","1-2 years","Research Analyst","No","Academia","ArcGIS;Google Earth;QGIS","ArcGIS","Exclusively","Illustrator","Raster","Python","Python","None (ShapeFiles baby)","No",,,"Laptop/tablet only",,"Not much difference","Yes",,"9","9","Yes"
"Male","Europe",,"25 to 34","Master's Degree","Yes","Mid level","55000","2-5 years","Computer Vision Engineer","No","Energy","GRASS;QGIS","QGIS",,"No","50/50","GDAL;PostGIS;Python;SQL Server","Python;SQL","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","8","8","haha memes go brrrr"
"Female","United States","Arizona","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","45000","5-10 years","Technician","Yes","Local Government","ArcGIS","ArcGIS","No","No","Vector","Assessor software ","No","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","To some extent","8","4","haha memes go brrrr"
"Male","United States","Ohio","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Student/Intern","25000","Under 1 year","Analyst","Yes","Transportation","ArcGIS","ArcGIS","Primarily","No","50/50",,"No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","I was, but back in the office now","To some extent","10","8","No"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","6278","Under 1 year","student research associate","No","Central Government","ArcGIS;QGIS","ArcGIS","A bit","No","50/50","R;SNAP, PCI Geomatica","Python","Personal Geodatabase (ESRI)","No",,,"2","No","Negatively","Yes","Yes","7","7","No"
"Male","United States","Texas","35 to 44","High School or equivalent","N/A","Mid level","60000","11-25 years","Researcher","No","Insurance","Google Earth;QGIS","Google Earth","No","No","Vector","Paint.net","No","None (ShapeFiles baby)","No","No","No","2","No","Not much difference","Yes","Yes","5","3","No"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","35000","1-2 years","Technician","Yes","Consulting","ArcGIS","ArcGIS","A bit","No","Vector","SQL Server","No","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","Yes - Most days","Not much difference","No",,"5","8","No"
"Male","Netherlands",,"18 to 24","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Student - University/College","8000","Not employed.",,,,"ArcGIS;GRASS;QGIS","QGIS",,"No","50/50","GDAL;PostGIS;Python","Python;SQL","PostgreSQL","No",,,"2",,"Positively","Yes","To some extent","8","7","haha memes go brrrr"
"Female","United States","Michigan","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","40000","2-5 years","Technician","No","Environmental","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector",,"No","None (ShapeFiles baby)","No",,,"2","Yes - Once a week","Not much difference","Yes","Yes","6","6","haha memes go brrrr"
"Female","United States",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","5-10 years","Human geographer","No",,"ArcGIS;QGIS","ArcGIS","Exclusively","No","Vector","Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","8","8","Don't care"
"Male","Canada","Not United States","25 to 34","Master's Degree","Maybe","Mid level","80000","5-10 years","Specialist","Yes","Local Government","ArcGIS","ArcGIS","A bit","InkScape","Vector","Python;SQL Server;VS Code","No;Python;SQL;.NET;C#;JavaScript","SQL Server","No",,,"2","Yes - More than once a month","Not much difference","Yes","To some extent","10","10","Don't care"
"Male","Germany",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","0","Not employed.",,,,"ArcGIS;ENVI;Google Earth;GRASS;QGIS;SAGA GIS, SNAP","QGIS",,"GIMP","50/50","GIMP;Python;R","Python;SQL","MySQL","No",,,"1",,,,,"9","10","haha memes go brrrr"
"Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","115000","5-10 years","Consultant","No","GIS","ArcGIS","ArcGIS","Primarily","No","Vector","PostGIS;Python;SQL Server;VS Code","Python;SQL","SQLite (SpatiaLite, GeoPackage)","No",,,"3","No","Positively","Yes","Yes","10","10","No"
"Male","United States","Iowa","25 to 34","Master's Degree","Yes","Mid level","60000","1-2 years","Technician","No","Local Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","Exclusively","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a month","Not much difference","I was, but back in the office now","No","7","10","haha memes go brrrr"
"Male","United States","South Dakota","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","57000","2-5 years","Specialist","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","Exclusively","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","No","No","10","10","No"
"Male","United States","New Mexico","35 to 44","Master's Degree","Maybe","Mid level","65000","2-5 years","Analyst","Yes","Consulting","ArcGIS;Google Earth;QGIS","ArcGIS","50/50","No","50/50","PyCharm;Python","Python","File Geodatabase (ESRI)","GISP","Yes","No","2","Yes - More than once a year","Not much difference","Yes","To some extent","8","7","No"
"Male","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","70000","11-25 years",,"No","All of them","ArcGIS;AutoCAD;Google Earth;QGIS;FME","ArcGIS","No","No","Vector","Access;FME;VS Code;Leafletn mySQL, geoserver, tippecanoe","SQL;.NET;C#;JavaScript;PHP, VBScript","MySQL","No",,,"1","No","Not much difference","I was already working from home","I was already working from home","9","9","haha memes go brrrr"
"Male","Europe",,"35 to 44","Master's Degree","Maybe","Student - University/College","0","Not employed.",,"No","Archaeology","ArcGIS;AutoCAD;Google Earth","ArcGIS","No","No","50/50","GIMP;R","No","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a year","Not much difference","Yes","Yes","7","10","Yes"
"Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","71000","2-5 years","Analyst","Yes","Consulting","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","Raster","Python;R","No","None (ShapeFiles baby)","No",,,"Laptop/tablet only","No","Not much difference","I was already working from home","I was already working from home","7","7","No"
"Male","Netherlands",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","34395","Under 1 year","Developer","Yes","GIS","GRASS;QGIS;Leaflet, GeoServer","Other",,"No",,"GDAL;PostGIS;PyCharm;Python;SQL Server;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"2","No","Negatively","Yes","To some extent","8","9","haha memes go brrrr"
"Male","United States","Florida","25 to 34","Master's Degree","Yes","Student - University/College","24000","2-5 years","Teaching assistant","No","Environmental","ArcGIS;ENVI;Google Earth","ArcGIS","No","No","50/50","Python","No","Personal Geodatabase (ESRI)","No",,,"2","No","Negatively","Yes","Yes","9","10","No"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","0","Not employed.",,,,"ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","Primarily","No","50/50","Access;FME;Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",,,"2",,"Positively","Yes","To some extent","9","9","No"
"Male","Netherlands",,"25 to 34","Master's Degree","If the cost/debt doesn't set you back too much do it, you will learn a lot and have fun, but 2-3 years of job experience can be just or more valuable than a master or phd degree, plus you get money.","Mid level","56000","2-5 years","Specialist","Geo information","Central Government","ArcGIS;QGIS","ArcGIS","Primarily","PhotoShop","50/50","FME;Python;SAS","No","SQLite (SpatiaLite, GeoPackage)","No",,,"1","No","Not much difference","Yes","Yes","7","6","Don't care"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","5-10 years","Research Analyst","Yes","State Government ","ArcGIS;AutoCAD;ERDAS;Google Earth","ArcGIS","Primarily","No","Vector","Access;Matlab;Microstation;PyCharm;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","No","No","No","2","Yes - Once a year","Not much difference","Yes","To some extent","9","9","Don't care"
"Female","United States","Washington","25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Mid level","58000","2-5 years","Hydrologist","No","Central Government","ArcGIS","ArcGIS","Exclusively","Illustrator","50/50","Python;R","No","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Not much difference","Yes","To some extent","10","10","No"
"Male","United States","New Jersey","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","43000","1-2 years","Specialist","Yes","Local Government","ArcGIS","ArcGIS","A bit","Illustrator","Vector",,"No","Personal Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","5","7","haha memes go brrrr"
"Male","United States","Idaho","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","44000","2-5 years","Analyst","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","No","Vector","SQL Server","No","SQL Server","No",,,"2","Yes - Once a month","Not much difference","I was, but back in the office now","No","9","10","No"
"Male","United States","Alabama","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","6000","Under 1 year","Analyst","Yes","Academia","ArcGIS;ERDAS;Google Earth;GRASS;QGIS","ArcGIS","Exclusively","PhotoShop","50/50","GDAL;Matlab;PostGIS;PyCharm;Python;R;VS Code","Python;C#;JavaScript","PostgreSQL","No",,,"2","Yes - Once a week","Positively","Yes","Yes","8","9","haha memes go brrrr"
"Female","United States","Arizona","35 to 44","Bachelor's (Undergraduate) Degree","Yes","Mid level","71000","11-25 years","Analyst","Yes","GIS","ArcGIS;ERDAS;Global Mapper;Google Earth;GRASS;QGIS","ArcGIS",,"PhotoShop","Raster","GDAL;Matlab;SQL Server","Python","None (ShapeFiles baby)","GIS cert","No",,"2","No","Not much difference","I was already working from home","Yes","8","8","No"
"Male","Other",,"25 to 34","Master's Degree","Maybe","Mangement","63000","5-10 years","Manager","No","Academia","ArcGIS;AutoCAD;ENVI;Google Earth;QGIS","QGIS","No","No","Vector","FME;PostGIS;Python;R;SQL Server","No","SQLite (SpatiaLite, GeoPackage)","No",,,"2","No","Not much difference","Yes","Yes","8","6","No"
"Male","United States","Colorado","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","91000","11-25 years","Transportation Engineer","No","Civil Engineering","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","QGIS","50/50","Illustrator;PhotoShop;InkScape;GIMP","Vector","GIMP;InDesign;Microstation;Python;MS Office, Power BI, Tableau","No","SQLite (SpatiaLite, GeoPackage)","Professional Engineer (PE)","Partly","Yes","3","No","Not much difference","Yes","To some extent","8","8","No"
